"uri","label"
"http://publications.europa.eu/resource/authority/corporate-body/SPC","Pacific Community"
"http://publications.europa.eu/resource/authority/corporate-body/REPRES_FRA","Representation in France"
"http://publications.europa.eu/resource/authority/corporate-body/ICAO","International Civil Aviation Organization"
"http://publications.europa.eu/resource/authority/corporate-body/CMT_MIX_EEC_AND","EEC–Andorra Joint Committee"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_COL_ECU","Delegation to Colombia and to Ecuador"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_USA","Delegation to the United States of America"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_USA","Delegation to the United States of America"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_BGR","Delegation to Bulgaria"
"http://publications.europa.eu/resource/authority/corporate-body/COUN_ASS_EEC_CYP","EEC–Cyprus Association Council"
"http://publications.europa.eu/resource/authority/corporate-body/ACER","European Union Agency for the Cooperation of Energy Regulators"
"http://publications.europa.eu/resource/authority/corporate-body/ACER","European Union Agency for the Cooperation of Energy Regulators"
"http://publications.europa.eu/resource/authority/corporate-body/EP_OFF_LIT","Liaison Office in Lithuania"
"http://publications.europa.eu/resource/authority/corporate-body/EP_OFF_LIT","Liaison Office in Lithuania"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_MAR","Delegation to Morocco"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_MAR","Delegation to Morocco"
"http://publications.europa.eu/resource/authority/corporate-body/ENER_COMNTY","Energy Community"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_IND_BTN","Delegation to India and to Bhutan"
"http://publications.europa.eu/resource/authority/corporate-body/DEL_IND_BTN","Delegation to India and to Bhutan"
"http://publications.europa.eu/resource/authority/corporate-body/WIPO","World Intellectual Property Organisation"
"http://publications.europa.eu/resource/authority/corporate-body/WAEMU","West African Economic and Monetary Union"
"http://publications.europa.eu/resource/authority/corporate-body/ESDC","European Security and Defence College"
"http://publications.europa.eu/resource/authority/corporate-body/CERN","CERN"
"http://publications.europa.eu/resource/authority/corporate-body/ESA","European Space Agency"
"http://publications.europa.eu/resource/authority/corporate-body/CMT_MIX_EC_USA","EC–United States of America Joint Committee"
"http://publications.europa.eu/resource/authority/corporate-body/CMT_MIX_EC_NOR","EC–Norway Joint Committee"
"http://publications.europa.eu/resource/authority/corporate-body/COUN_ASS_EEC_TUR","EEC–Turkey Association Council"
"http://publications.europa.eu/resource/authority/corporate-body/EFTA_MS","EFTA Member States"
"http://publications.europa.eu/resource/authority/corporate-body/IBWM","International Bureau of Weights and Measures"
"http://publications.europa.eu/resource/authority/corporate-body/COUN_COOP_EC_UZB","EC–Uzbekistan Cooperation Council"
"http://publications.europa.eu/resource/authority/corporate-body/AGRI","Directorate-General for Agriculture and Rural Development"
"http://publications.europa.eu/resource/authority/corporate-body/AGRI","Directorate-General for Agriculture and Rural Development"
"http://publications.europa.eu/resource/authority/corporate-body/AUDIT","Directorate-General for Financial Control"
"http://publications.europa.eu/resource/authority/corporate-body/BUDG","Directorate-General for Budget"
"http://publications.europa.eu/resource/authority/corporate-body/BUDG","Directorate-General for Budget"
"http://publications.europa.eu/resource/authority/corporate-body/CASSTM","Administrative Commission on Social Security for Migrant Workers"
"http://publications.europa.eu/resource/authority/corporate-body/CFI","Court of First Instance"
"http://publications.europa.eu/resource/authority/corporate-body/CJ","Court of Justice"
"http://publications.europa.eu/resource/authority/corporate-body/CJ","Court of Justice"
"http://publications.europa.eu/resource/authority/corporate-body/CJ","Court of Justice"
"http://publications.europa.eu/resource/authority/corporate-body/COCOR","Coordinating Committee on the nomenclature of iron and steel products"
"http://publications.europa.eu/resource/authority/corporate-body/COM","European Commission"
"http://publications.europa.eu/resource/authority/corporate-body/COM","European Commission"
"http://publications.europa.eu/resource/authority/corporate-body/COMP","Directorate-General for Competition"
"http://publications.europa.eu/resource/authority/corporate-body/COMP","Directorate-General for Competition"
"http://publications.europa.eu/resource/authority/corporate-body/CONSIL","Council of the European Union"
"http://publications.europa.eu/resource/authority/corporate-body/CONSIL","Council of the European Union"
"http://publications.europa.eu/resource/authority/corporate-body/CONSIL","Council of the European Union"
"http://publications.europa.eu/resource/authority/corporate-body/COR","European Committee of the Regions"
"http://publications.europa.eu/resource/authority/corporate-body/COR","European Committee of the Regions"
"http://publications.europa.eu/resource/authority/corporate-body/COURT_NAT","National Courts"
"http://publications.europa.eu/resource/authority/corporate-body/DEV","Directorate-General for Development and Relations with African, Caribbean and Pacific States"
"http://publications.europa.eu/resource/authority/corporate-body/DG01","DG I – External Relations: Commercial Policy and Relations with North America, the Far East, Australia and New Zealand"
"http://publications.europa.eu/resource/authority/corporate-body/DG01A","DG IA – External Relations: Europe and the New Independent States, Common Foreign and Security Policy and External Missions"
"http://publications.europa.eu/resource/authority/corporate-body/DG03","DG III – Industry"
"http://publications.europa.eu/resource/authority/corporate-body/DG07","DG VII – Transport"
"http://publications.europa.eu/resource/authority/corporate-body/DG15","DG XV – Internal Market and Financial Services"
"http://publications.europa.eu/resource/authority/corporate-body/DG17","Directorate-General for Energy"
"http://publications.europa.eu/resource/authority/corporate-body/DG18","DG XVIII – Credit and Investments"
"http://publications.europa.eu/resource/authority/corporate-body/DG23","DG XXIII – Enterprise Policy, Distributive Trades, Tourism and Cooperatives"
"http://publications.europa.eu/resource/authority/corporate-body/EAC","Directorate-General for Education, Youth, Sport and Culture"
"http://publications.europa.eu/resource/authority/corporate-body/EAC","Directorate-General for Education, Youth, Sport and Culture"
"http://publications.europa.eu/resource/authority/corporate-body/EC","European Communities"
"http://publications.europa.eu/resource/authority/corporate-body/ECFIN","Directorate-General for Economic and Financial Affairs"
"http://publications.europa.eu/resource/authority/corporate-body/ECFIN","Directorate-General for Economic and Financial Affairs"
"http://publications.europa.eu/resource/authority/corporate-body/ECHA","European Chemicals Agency"
"http://publications.europa.eu/resource/authority/corporate-body/ECHA","European Chemicals Agency"
"http://publications.europa.eu/resource/authority/corporate-body/ECSC","European Coal and Steel Community"
"http://publications.europa.eu/resource/authority/corporate-body/EESC","European Economic and Social Committee"
"http://publications.europa.eu/resource/authority/corporate-body/EESC","European Economic and Social Committee"
"http://publications.europa.eu/resource/authority/corporate-body/EFTA_SUC","EFTA Surveillance Authority"
"http://publications.europa.eu/resource/authority/corporate-body/ELARG","Directorate-General for Enlargement"
"http://publications.europa.eu/resource/authority/corporate-body/EMPL","Directorate-General for Employment, Social Affairs and Inclusion"
"http://publications.europa.eu/resource/authority/corporate-body/EMPL","Directorate-General for Employment, Social Affairs and Inclusion"
"http://publications.europa.eu/resource/authority/corporate-body/ENTR","Directorate-General for Enterprise and Industry"
