"uri","label"
"http://publications.europa.eu/resource/authority/resource-type/MINUTES_DRAFT","Draft minutes"
"http://publications.europa.eu/resource/authority/resource-type/ASSENT_REQ","Request for assent"
"http://publications.europa.eu/resource/authority/resource-type/PROC_RULES","Rules of procedure"
"http://publications.europa.eu/resource/authority/resource-type/ADD","Addendum"
"http://publications.europa.eu/resource/authority/resource-type/LET_AMEND","Letter of amendment"
"http://publications.europa.eu/resource/authority/resource-type/AMEND_PROP","Amended proposal"
"http://publications.europa.eu/resource/authority/resource-type/DEC_DEL_DRAFT","Draft delegated decision"
"http://publications.europa.eu/resource/authority/resource-type/JOINT_TEXT_RJ","Rejected joint text"
"http://publications.europa.eu/resource/authority/resource-type/JOINT_IMPACT_ASSESS_SUM","Joint impact assessment summary"
"http://publications.europa.eu/resource/authority/resource-type/ACT_OTHER","Other acts"
"http://publications.europa.eu/resource/authority/resource-type/ANNOUNC","Announcements"
"http://publications.europa.eu/resource/authority/resource-type/ARCHIVE_FILE","Archive file"
"http://publications.europa.eu/resource/authority/resource-type/ASSENT","Assent"
"http://publications.europa.eu/resource/authority/resource-type/COMMUNIC","Communication"
"http://publications.europa.eu/resource/authority/resource-type/COMPOS","Common position"
"http://publications.europa.eu/resource/authority/resource-type/CONS_TEXT","Consolidated text"
"http://publications.europa.eu/resource/authority/resource-type/CORRIGENDUM","Corrigendum"
"http://publications.europa.eu/resource/authority/resource-type/DATPRO","Provisional data"
"http://publications.europa.eu/resource/authority/resource-type/DEC","Decision"
"http://publications.europa.eu/resource/authority/resource-type/DEC_DRAFT","Draft decision"
"http://publications.europa.eu/resource/authority/resource-type/DEC_ENTSCHEID","Decision"
"http://publications.europa.eu/resource/authority/resource-type/DEC_NC","Decision by national courts in the field of European Union law"
"http://publications.europa.eu/resource/authority/resource-type/IMPACT_ASSESS","Impact assessment"
"http://publications.europa.eu/resource/authority/resource-type/INFO","Information"
"http://publications.europa.eu/resource/authority/resource-type/INFO_JUDICIAL","Judicial information"
"http://publications.europa.eu/resource/authority/resource-type/INFO_JUR","Information"
"http://publications.europa.eu/resource/authority/resource-type/JUDG","Judgment"
"http://publications.europa.eu/resource/authority/resource-type/MEAS_NATION_IMPL","National transposition measures"
"http://publications.europa.eu/resource/authority/resource-type/NOTICE","Notice"
"http://publications.europa.eu/resource/authority/resource-type/OJ","Official Journal"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_AG","Opinion of the Advocate General"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_AMEND_EP","Opinion on the European Parliament’s amendments"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_NO_PROP_AMEND","Opinion not proposing amendment"
"http://publications.europa.eu/resource/authority/resource-type/OPIN_PROP_RJ","Opinion proposing rejection"
"http://publications.europa.eu/resource/authority/resource-type/OWNINI_REPORT","Own-initiative report"
"http://publications.europa.eu/resource/authority/resource-type/PROP_DEC","Proposal for a decision"
"http://publications.europa.eu/resource/authority/resource-type/PROP_REG","Proposal for a regulation"
"http://publications.europa.eu/resource/authority/resource-type/PUB_GEN","General publications"
"http://publications.europa.eu/resource/authority/resource-type/QUEST_TIME","Question at question time"
"http://publications.europa.eu/resource/authority/resource-type/QUEST_WRITTEN","Written question"
"http://publications.europa.eu/resource/authority/resource-type/RECO_REG","Recommendation for a regulation"
"http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","Implementing regulation"
"http://publications.europa.eu/resource/authority/resource-type/REPORT","Report"
"http://publications.europa.eu/resource/authority/resource-type/STU","Study"
"http://publications.europa.eu/resource/authority/resource-type/TOC_OJ","Contents"
