"uri","label"
"http://publications.europa.eu/resource/authority/subject-matter/DROIT","General principles of Community law"
"http://publications.europa.eu/resource/authority/subject-matter/DOUA","Customs Cooperation"
"http://publications.europa.eu/resource/authority/subject-matter/ELSJ","Area of freedom, security and justice"
"http://publications.europa.eu/resource/authority/subject-matter/LCC","Free movement of capital"
"http://publications.europa.eu/resource/authority/subject-matter/EFPJ","Education, vocational training and youth"
"http://publications.europa.eu/resource/authority/subject-matter/SOPO","Social Policy"
"http://publications.europa.eu/resource/authority/subject-matter/EMPL","Employment"
"http://publications.europa.eu/resource/authority/subject-matter/FIN","Financial provisions"
"http://publications.europa.eu/resource/authority/subject-matter/ACIE","Steel"
"http://publications.europa.eu/resource/authority/subject-matter/ADH","Accession"
"http://publications.europa.eu/resource/authority/subject-matter/APPR","Supply agency"
"http://publications.europa.eu/resource/authority/subject-matter/CECA","ECSC matters"
"http://publications.europa.eu/resource/authority/subject-matter/CERE","Cereals"
"http://publications.europa.eu/resource/authority/subject-matter/COMT","Brussels Convention of 27 September 1968 - Jurisdiction"
"http://publications.europa.eu/resource/authority/subject-matter/COTO","Cotton"
"http://publications.europa.eu/resource/authority/subject-matter/DEMO","Designs"
"http://publications.europa.eu/resource/authority/subject-matter/FER","Iron"
"http://publications.europa.eu/resource/authority/subject-matter/HARV","Harmonisation of customs law: value for customs purposes"
"http://publications.europa.eu/resource/authority/subject-matter/INDU","Industry"
"http://publications.europa.eu/resource/authority/subject-matter/INST","Provisions governing the Institutions"
"http://publications.europa.eu/resource/authority/subject-matter/J-AI","Justice and home affairs"
"http://publications.europa.eu/resource/authority/subject-matter/RIZ","Rice"
"http://publications.europa.eu/resource/authority/subject-matter/TDCS","Customs duties: suspensions"
"http://publications.europa.eu/resource/authority/subject-matter/VSOI","Silkworms"
"http://publications.europa.eu/resource/authority/subject-matter/ACCE","Accession to agreement"
"http://publications.europa.eu/resource/authority/subject-matter/CAO","Rubber"
"http://publications.europa.eu/resource/authority/subject-matter/DDES","Right of entry and residence"
"http://publications.europa.eu/resource/authority/subject-matter/ETAB","Right of establishment"
"http://publications.europa.eu/resource/authority/subject-matter/GATT","General Agreement on Tariffs and Trade (GATT)"
"http://publications.europa.eu/resource/authority/subject-matter/LCM","Free movement of goods"
"http://publications.europa.eu/resource/authority/subject-matter/MARC","Public procurement in the European Union"
"http://publications.europa.eu/resource/authority/subject-matter/OBT","Plant varieties"
"http://publications.europa.eu/resource/authority/subject-matter/PCIV","Civil protection"
"http://publications.europa.eu/resource/authority/subject-matter/PRAT","Concerted practices"
"http://publications.europa.eu/resource/authority/subject-matter/PREG","Regional policy"
"http://publications.europa.eu/resource/authority/subject-matter/PREL","Levies and loans"
"http://publications.europa.eu/resource/authority/subject-matter/PRIN","Principles, objectives and tasks of the Treaties"
"http://publications.europa.eu/resource/authority/subject-matter/PRIX","Prices"
"http://publications.europa.eu/resource/authority/subject-matter/RDT","Research and technological development"
"http://publications.europa.eu/resource/authority/subject-matter/RTR","Trans-European networks"
"http://publications.europa.eu/resource/authority/subject-matter/SILV","Forestry"
"http://publications.europa.eu/resource/authority/subject-matter/STRA","Agricultural structures"
"http://publications.europa.eu/resource/authority/subject-matter/TDCD","Customs duties: authorisation to defer application of CCT"
"http://publications.europa.eu/resource/authority/subject-matter/TDCN","Customs duties: national tariff quotas"
"http://publications.europa.eu/resource/authority/subject-matter/VA","Value for customs purposes"
"http://publications.europa.eu/resource/authority/subject-matter/BREV","Patents"
"http://publications.europa.eu/resource/authority/subject-matter/COJC","Judicial cooperation in civil matters"
"http://publications.europa.eu/resource/authority/subject-matter/COMP","Accession compensatory amounts"
"http://publications.europa.eu/resource/authority/subject-matter/CONJ","Conjunctural policy"
"http://publications.europa.eu/resource/authority/subject-matter/CONT","Quotas - third countries"
"http://publications.europa.eu/resource/authority/subject-matter/DECH","Waste"
"http://publications.europa.eu/resource/authority/subject-matter/DIPL","External action by the Union"
"http://publications.europa.eu/resource/authority/subject-matter/EXEC","Brussels Convention of 27 September 1968 - Enforcement"
"http://publications.europa.eu/resource/authority/subject-matter/FED","European Development Fund (EDF)"
"http://publications.europa.eu/resource/authority/subject-matter/FRON","Border checks"
"http://publications.europa.eu/resource/authority/subject-matter/IMPK","Provisions implementing Article 95 - ECSC"
"http://publications.europa.eu/resource/authority/subject-matter/INTE","Internal taxation"
"http://publications.europa.eu/resource/authority/subject-matter/MGRA","Oils and fats"
"http://publications.europa.eu/resource/authority/subject-matter/MONA","Monetary measures in the field of agriculture"
"http://publications.europa.eu/resource/authority/subject-matter/PERE","Scrap equalisation"
"http://publications.europa.eu/resource/authority/subject-matter/PROT","Consumer protection"
"http://publications.europa.eu/resource/authority/subject-matter/SANI","Health and safety"
"http://publications.europa.eu/resource/authority/subject-matter/TELE","Telecommunications"
"http://publications.europa.eu/resource/authority/subject-matter/TVA","Value added tax"
"http://publications.europa.eu/resource/authority/subject-matter/AL-A","Animal feedingstuffs"
"http://publications.europa.eu/resource/authority/subject-matter/CIT","Citizenship of the Union"
"http://publications.europa.eu/resource/authority/subject-matter/COHE","Cohesion Fund"
"http://publications.europa.eu/resource/authority/subject-matter/CTEM","Quotas between Member States"
"http://publications.europa.eu/resource/authority/subject-matter/CULT","Culture"
"http://publications.europa.eu/resource/authority/subject-matter/F-L","Fruit and vegetables"
"http://publications.europa.eu/resource/authority/subject-matter/FEDE","European Regional Development Fund (ERDF)"
"http://publications.europa.eu/resource/authority/subject-matter/HARM","Harmonisation of laws"
"http://publications.europa.eu/resource/authority/subject-matter/IDST","Scientific and technical information and documentation"
"http://publications.europa.eu/resource/authority/subject-matter/IRDA","Integration of the German Democratic Republic (GDR)"
"http://publications.europa.eu/resource/authority/subject-matter/MEEQ","Measures having equivalent effect"
"http://publications.europa.eu/resource/authority/subject-matter/RAPL","Approximation of laws"
"http://publications.europa.eu/resource/authority/subject-matter/REACH","REACH"
"http://publications.europa.eu/resource/authority/subject-matter/RECO","Judicial proceedings"
"http://publications.europa.eu/resource/authority/subject-matter/SECU","Safety at work and elsewhere"
"http://publications.europa.eu/resource/authority/subject-matter/CEEA","Euratom matters"
"http://publications.europa.eu/resource/authority/subject-matter/DOM","French overseas departments"
"http://publications.europa.eu/resource/authority/subject-matter/FD","Hard fibres"
"http://publications.europa.eu/resource/authority/subject-matter/FEOG","European Agricultural Guidance and Guarantee Fund (EAGGF)"
"http://publications.europa.eu/resource/authority/subject-matter/IME","European Monetary Institute"
"http://publications.europa.eu/resource/authority/subject-matter/IMMI","Immigration and asylum policy"
"http://publications.europa.eu/resource/authority/subject-matter/INDR","Indirect taxation"
"http://publications.europa.eu/resource/authority/subject-matter/NAT","Non-discrimination on grounds of nationality"
"http://publications.europa.eu/resource/authority/subject-matter/OMC","World Trade Organization"
"http://publications.europa.eu/resource/authority/subject-matter/OP_DATPRO","Provisional data"
"http://publications.europa.eu/resource/authority/subject-matter/PIM","Integrated Mediterranean programmes (IMP)"
"http://publications.europa.eu/resource/authority/subject-matter/PME","Small and medium-sized enterprises"
"http://publications.europa.eu/resource/authority/subject-matter/POIS","Peas and field beans"
"http://publications.europa.eu/resource/authority/subject-matter/PROP","Intellectual, industrial and commercial property"
"http://publications.europa.eu/resource/authority/subject-matter/RTRA","Community transit systems"
"http://publications.europa.eu/resource/authority/subject-matter/SANT","Public health"
"http://publications.europa.eu/resource/authority/subject-matter/STAT","Staff regulations and employment conditions - EC"
"http://publications.europa.eu/resource/authority/subject-matter/V-LG","Rabbit meat and farmed game meat"
"http://publications.europa.eu/resource/authority/subject-matter/ACP","African, Caribbean and Pacific States (ACP)"
"http://publications.europa.eu/resource/authority/subject-matter/AGRI","Agriculture and Fisheries"
"http://publications.europa.eu/resource/authority/subject-matter/ANCO","Non-trade agreement"
